   840.00000000000000       0.16800000000000001             5001
  -0.0000000000000000       -10.158587474615716       -17.705895851486606        105.39223721122976     
  -1.7066426957354404       -7.1839969715659677        32.501777221983147       -88.070722443431862     
  -2.4138229824461654       -3.7205240357098939        4.3154509781716257       -8.3656934356046868     
  -2.9567387717339648       -2.9788725016237478        2.0489619785548721       -3.2403809211096490     
  -3.4147241429917448       -2.5647908101815071        1.2393872442011002       -1.6618646139230380     
  -3.8185084839549512       -2.2890700967200290       0.84685433383387121      -0.98722380899352302     
  -4.1838516954896745       -2.0881172549069476       0.62320992948402443      -0.64323092542843441     
  -4.5201158816036857       -1.9331823675181918       0.48214501262721993      -0.44678972670922301     
  -4.8334009709757870       -1.8090122230153693       0.38667488437382602      -0.32530488048157752     
  -5.1279439885368499       -1.7066336767058998       0.31862970110325878      -0.24557890816215977     
  -5.4068298863489694       -1.6203677544471113       0.26816797233800632      -0.19079038319781669     
  -5.6723875540310793       -1.5464179190676668       0.22955230036347099      -0.15172557607101841     
  -5.9264263071557055       -1.4821352541226258       0.19923961712322635      -0.12301851380724731     
  -6.1703849994162816       -1.4256069663703090       0.17493805865571621      -0.10138489387931519     
  -6.4054302478561294       -1.3754122403965376       0.15510739100277146       -8.4730099348245033E-002
  -6.6325235121895183       -1.3304704239916212       0.13867883013748714       -7.1671145926940363E-002
  -6.8524683103173141       -1.2899428763333514       0.12489025861048318       -6.1267461336000119E-002
  -7.0659443186375244       -1.2531673879264709       0.11318533554534663       -5.2862761569996940E-002
  -7.2735325526606083       -1.2196131109308890       0.10314955920994595       -4.5988759238799394E-002
  -7.4757343239103031       -1.1888488192586149        9.4468517581896824E-002  -4.0304651643972997E-002
  -7.6729857559315029       -1.1605200728150959        8.6899903390044234E-002  -3.5558028336442560E-002
  -7.8656690683761754       -1.1343324746513443        8.0254316282677735E-002  -3.1558990557608281E-002
  -8.0541214674143546       -1.1100391872288584        7.4381818834808877E-002  -2.8162639163616256E-002
  -8.2386422352850719       -1.0874314830836245        6.9162346463335245E-002  -2.5256990401794258E-002
  -8.4194984457304525       -1.0663314945632445        6.4498751703282009E-002  -2.2754488184224004E-002
  -8.5969296174583221       -1.0465865820144764        6.0311682576649865E-002  -2.0585945852780455E-002
  -8.7711515372873166       -1.0280649098759687        5.6535759337006004E-002  -1.8696158136252226E-002
  -8.9423594271766476       -1.0106519358404473        5.3116684425459929E-002  -1.7040679894254021E-002
  -9.1107305877297069      -0.99424759832149912        5.0009032556942536E-002  -1.5583431999714046E-002
  -9.2764266202126713      -0.97876404373664616        4.7174542875865234E-002  -1.4294901612063192E-002
  -9.4395953064252200      -0.96412377523965209        4.4580786119060530E-002  -1.3150774909812668E-002
  -9.6003722086931944      -0.95025813351681143        4.2200114963196228E-002  -1.2130888177575896E-002
  -9.7588820392868687      -0.93710604145294918        4.0008830377628125E-002  -1.1218415726770244E-002
  -9.9152398386213854      -0.92461296014248329        3.7986514317770587E-002  -1.0399235859150388E-002
  -10.069551993894743      -0.91273001543037835        3.6115491614566592E-002  -9.6614318182769998E-003
  -10.221917123805992      -0.90141326300280111        3.4380393073751694E-002  -8.9948961317034004E-003
  -10.372426850263684      -0.89062306677528413        3.2767798434202786E-002  -8.3910146470442728E-003
  -10.521166474242488      -0.88032357049358645        3.1265942827959969E-002  -7.8424125902622349E-003
  -10.668215569949529      -0.87048224646223460        2.9864474061368142E-002  -7.3427491889064651E-003
  -10.813648509053799      -0.86106950843693797        2.8554250830342999E-002  -6.8865505740918357E-003
  -10.957534924784341      -0.85205837816815233        2.7327174118686355E-002  -6.4690731026084023E-003
  -11.099940124118298      -0.84342419702201776        2.6176045635430127E-002  -6.0861909477392759E-003
  -11.240925454983739      -0.83514437564844013        2.5094448414535415E-002  -5.7343031996766880E-003
  -11.380548634336174      -0.82719817590167932        2.4076645667407026E-002  -5.4102567140653455E-003
  -11.518864042086703      -0.81956652021392384        2.3117494749105690E-002  -5.1112817715751177E-003
  -11.655922985128052      -0.81223182442838715        2.2212373682730928E-002  -4.8349381480623631E-003
  -11.791773935094641      -0.80517785075386228        2.1357118188880201E-002  -4.5790697851085024E-003
  -11.926462742981350      -0.79838957803924326        2.0547967509754860E-002  -4.3417664801852201E-003
  -12.060032833315827      -0.79185308700737589        1.9781517652123753E-002  -4.1213314268519459E-003
  -12.192525380215828      -0.78555545845083674        1.9054680898861562E-002  -3.9162536080956005E-003
  -12.323979467355308      -0.77948468269432392        1.8364650633791731E-002  -3.7251842098231579E-003
  -12.454432233601121      -0.77362957887878403        1.7708870703181390E-002  -3.5469164517276126E-003
  -12.583919005858579      -0.76797972283231575        1.7085008637495559E-002  -3.3803682267538621E-003
  -12.712473420472779      -0.76252538246861301        1.6490932198344865E-002  -3.2245671728488245E-003
  -12.840127534368033      -0.75725745980162851        1.5924688770285314E-002  -3.0786377501050956E-003
  -12.966911926966127      -0.75216743879038961        1.5384487213801295E-002  -2.9417900449481681E-003
  -13.092855793801604      -0.74724733833323820        1.4868681848764982E-002  -2.8133100599182820E-003
  -13.217987032646095      -0.74248966982144660        1.4375758273791783E-002  -2.6925512211865748E-003
  -13.342332322861610      -0.73788739873845277        1.3904320798597519E-002  -2.5789269947882401E-003
  -13.465917198622215      -0.73343390985662682        1.3453081267533019E-002  -2.4719043999068429E-003
  -13.588766116573437      -0.72912297564008455        1.3020849108045924E-002  -2.3709983266762126E-003
  -13.710902518437283      -0.72494872751009753        1.2606522448141226E-002  -2.2757665348720774E-003
  -13.832348889016830      -0.72090562967156269        1.2209080174321565E-002  -2.1858052493890275E-003
  -13.953126810006928      -0.71698845523506693        1.1827574815019877E-002  -2.1007452648394353E-003
  -14.073257009975812      -0.71319226440028471        1.1461126154960337E-002  -2.0202485055149481E-003
  -14.192759410845424      -0.70951238449367704        1.1108915491107372E-002  -1.9440049642860588E-003
  -14.311653171165688      -0.70594439167700096        1.0770180462513117E-002  -1.8717299964634564E-003
  -14.429956726448896      -0.70248409416385715        1.0444210382125407E-002  -1.8031618953810123E-003
  -14.547687826804744      -0.69912751679946872        1.0130342023164117E-002  -1.7380597493257797E-003
  -14.664863572093518      -0.69587088687478049        9.8279557999917302E-003  -1.6762015035778277E-003
  -14.781500444794670      -0.69271062105969416        9.5364723137399809E-003  -1.6173822556571531E-003
  -14.897614340769575      -0.68964331335262852        9.2553492090066605E-003  -1.5614126974254898E-003
  -15.013220598081153      -0.68666572395431869        8.9840783228985460E-003  -1.5081177394455341E-003
  -15.128334024018226      -0.68377476898305911        8.7221830868326015E-003  -1.4573352642128358E-003
  -15.242968920459461      -0.68096751095737484        8.4692161590357324E-003  -1.4089150058252610E-003
  -15.357139107699904      -0.67824114997931206        8.2247572631973347E-003  -1.3627175364219583E-003
  -15.470857946852510      -0.67559301555812168        7.9884112149912253E-003  -1.3186133573313665E-003
  -15.584138360927433      -0.67302055902007663        7.7598061156660065E-003  -1.2764820758221402E-003
  -15.696992854683256      -0.67052134645553685        7.5385916957735610E-003  -1.2362116522844850E-003
  -15.809433533336493      -0.66809305215877912        7.3244377985565764E-003  -1.1976977258964458E-003
  -15.921472120208605      -0.66573345252031124        7.1170329880788051E-003  -1.1608430084728239E-003
  -16.033119973383318      -0.66344042033553019        6.9160832643496055E-003  -1.1255567090337427E-003
  -16.144388101441344      -0.66121191949637603        6.7213108888728801E-003  -1.0917540402298337E-003
  -16.255287178334100      -0.65904600003580904        6.5324532973019466E-003  -1.0593557496803043E-003
  -16.365827557453375      -0.65694079349795254        6.3492620993891562E-003  -1.0282877022606675E-003
  -16.476019284949412      -0.65489450860888354        6.1715021521007172E-003  -9.9848048018538662E-004
  -16.585872112345960      -0.65290542722499600        5.9989507124737287E-003  -9.6986905782917379E-004
  -16.695395508497011      -0.65097190053846932        5.8313966401311512E-003  -9.4239244695253088E-004
  -16.804598670926886      -0.64909234552065365        5.6686396739375209E-003  -9.1599342846678444E-004
  -16.913490536591951      -0.64726524158578580        5.5104897508229935E-003  -8.9061826696614659E-004
  -17.022079792099710      -0.64548912745940978        5.3567663796779841E-003  -8.6621646759294901E-004
  -17.130374883418312      -0.64376259823658200        5.2072980574790683E-003  -8.4274054114473311E-004
  -17.238384025107202      -0.64208430261636884        5.0619217316741870E-003  -8.2014580964136241E-004
  -17.346115209097412      -0.64045294030052025        4.9204822919598013E-003  -7.9839019241138409E-004
  -17.453576213048176      -0.63886725954479362        4.7828321069956535E-003  -7.7743404575045694E-004
  -17.560774608304463      -0.63732605485236493        4.6488305853505767E-003  -7.5723998647069695E-004
  -17.667717767478571      -0.63582816479982152        4.5183437721340565E-003  -7.3777275141448688E-004
  -17.774412871677203      -0.63437246998679231        4.3912439672154505E-003  -7.1899904498013128E-004
  -17.880866917394133      -0.63295789110094447        4.2674093754156281E-003  -7.0088742448512519E-004
  -17.987086723087121      -0.63158338709081085        4.1467237720554245E-003  -6.8340816230237319E-004
  -18.093078935456646      -0.63024795343931861        4.0290762003506418E-003  -6.6653315969532573E-004
  -18.198850035442732      -0.62895062053169859        3.9143606752896336E-003  -6.5023581307512652E-004
  -18.304406343955296      -0.62769045211156593        3.8024759220008169E-003  -6.3449095181205878E-004
  -18.409754027352218      -0.62646654381964550        3.6933251153160010E-003  -6.1927472097640494E-004
  -18.514899102678697      -0.62527802181007386        3.5868156482851111E-003  -6.0456451914989379E-004
  -18.619847442680403      -0.62412404143921552        3.4828589074252566E-003  -5.9033891413398567E-004
  -18.724604780602274      -0.62300378602285811        3.3813700641448178E-003  -5.7657757064631383E-004
  -18.829176714784083      -0.62191646565736725        3.2822678800767924E-003  -5.6326118850676056E-004
  -18.933568713063149      -0.62086131610101469        3.1854745223563095E-003  -5.5037143820112439E-004
  -19.037786116994024      -0.61983759771191838        3.0909153912969016E-003  -5.3789090581053418E-004
  -19.141834145894354      -0.61884459443921935        2.9985189573186271E-003  -5.2580303794086186E-004
  -19.245717900725602      -0.61788161286438881        2.9082166078833100E-003  -5.1409209114769449E-004
  -19.349442367816788      -0.61694798128968176        2.8199425039963266E-003  -5.0274308773001265E-004
  -19.453012422438935      -0.61604304887106320        2.7336334443868039E-003  -4.9174177302238923E-004
  -19.556432832237466      -0.61516618479315466        2.6492287359186615E-003  -4.8107456706773956E-004
  -19.659708260529435      -0.61431677748362867        2.5666700762745284E-003  -4.7072854101564153E-004
  -19.762843269471965      -0.61349423386502533        2.4859014346885889E-003  -4.6069135830545068E-004
  -19.865842323108083      -0.61269797864166042        2.4068689531342117E-003  -4.5095127878722860E-004
  -19.968709790295563      -0.61192745362008483        2.3295208326582638E-003  -4.4149707855095676E-004
  -20.071449947524432      -0.61118211706094672        2.2538072491073750E-003  -4.3231806453710076E-004
  -20.174066981628041      -0.61046144306040706        2.1796802549449525E-003  -4.2340402096454255E-004
  -20.276564992392728      -0.60976492096000867        2.1070936968655804E-003  -4.1474519621853659E-004
  -20.378947995070604      -0.60909205478311612        2.0360031326541704E-003  -4.0633227213106256E-004
