   10.000000000000000        2.0000000000000000E-003        5001
   0.0000000000000000       -156.33218665900765       -23076.890618220805        11538445.309110397     
 -0.31266437331801528       -110.17840542256607        42356.108260287197       -9639608.8210332077     
 -0.44071362169026429       -56.429278233815758        5628.9742303870244       -915650.62711632461     
 -0.53838148625327831       -44.901188837663554        2675.7108449361190       -354669.56150719681     
 -0.62031837704091852       -38.454380196005445        1620.8248864527513       -181896.14377270985     
 -0.69219900703730008       -34.153834375466957        1109.3496170081485       -108054.65282311826     
 -0.75693371454278635       -31.013091741311783        817.93817365290181       -70403.583968613180     
 -0.81625137400254721       -28.586182054323533        634.12883065791516       -48902.496439733040     
 -0.87127844276008048       -26.636496688968670        509.73006489157814       -35605.609996297579     
 -0.92279736075842189       -25.024843749357927        421.06634389271761       -26879.359493164888     
 -0.97137781775751220       -23.663130687705035        355.31408303722537       -20882.588558583659     
  -1.0174498835092420       -22.492465418259137        304.99738166941961       -16606.826433264443     
  -1.0613476794305488       -21.471757808780634        265.49957799895662       -13464.751031297405     
  -1.1033369147443646       -20.571336509160375        233.83434474885669       -11096.885437544834     
  -1.1436330254671903       -19.769161755415489        207.99473789512302       -9273.9674482228420     
  -1.1824135617660265       -19.048470413213668        186.58811854391223       -7844.6252208402839     
  -1.2198269071200449       -18.396253441688103        168.62143816911978       -6705.9102542843530     
  -1.2559985755327789       -17.802238612063036        153.36977768290461       -5785.9902654611160     
  -1.2910358615682971       -17.258191384516952        140.29303616758250       -5033.6097732611715     
  -1.3250313410708467       -16.757422557125757        128.98153084273113       -4411.4668840966597     
  -1.3580655517968001       -16.294434036363992        119.11953231749651       -3891.9345055760109     
  -1.3902090772163027       -15.864659121160917        110.46024957570012       -3454.2276402538259     
  -1.4215241882814438       -15.464268854541164        102.80831228559606       -3082.4866354556279     
  -1.4520661526344674       -15.090025445024246        96.007274800330450       -2764.4545282784479     
  -1.4818842900615408       -14.739169800162266        89.930552763989311       -2490.5480383863310     
  -1.5110228318351164       -14.409334165566944        84.474749560692345       -2253.1944751241758     
  -1.5395216267238085       -14.098473501025666        79.554674567494658       -2046.3514536495086     
  -1.5674167258392191       -13.804811020199480        75.099577388076938       -1865.1543175901563     
  -1.5947408708046065       -13.526794562458255        71.050268311834145       -1705.6540970589172     
  -1.6215239040890521       -13.263061338375625        67.356892966580205       -1564.6205214908668     
  -1.6477931161581090       -13.012409212767196        63.977195618791782       -1439.3923690875220     
  -1.6735735409401209       -12.773773138721078        60.875151461969871       -1327.7626597640867     
  -1.6988882087129933       -12.546205684790367        58.019880364718063       -1227.8897709022683     
  -1.7237583636792824       -12.328860840582323        55.384777359390739       -1138.2280391408760     
  -1.7482036520753226       -12.120980467614450        52.946811482379452       -1057.4731397761104     
  -1.7722422855497402       -11.921882899362245        50.685956480667208       -984.51877869609734     
  -1.7958911836727716       -11.730953298783930        48.584725587302870       -918.42211071002646     
  -1.8191660987448759       -11.547635461763239        46.627789034137116       -858.37594483717521     
  -1.8420817255198245       -11.371424816964737        44.801657781978754       -803.68626359517134     
  -1.8646517980127348       -11.201862420999964        43.094420598965847       -753.75393568388733     
  -1.8868891752038244       -11.038529785832306        41.495524365942060       -708.05975485588306     
  -1.9088059171560641       -10.881044405426810        39.995589620145381       -666.15213681342482     
  -1.9304133528255316       -10.729055872587988        38.586254974715132       -627.63695091172519     
  -1.9517221406464160       -10.582242496100069        37.260045323672664       -592.16907630221806     
  -1.9727423228099319       -10.440308343721005        36.010259734431393       -559.44535798380093     
  -1.9934833740213000       -10.302980649079085        34.830875715874399       -529.19870668910460     
  -2.0139542454062482       -10.170007530695857        33.716467159605749       -501.19313524388252     
  -2.0341634041440835       -10.041155979680360        32.662133749639111       -475.21956550444776     
  -2.0541188693249697       -9.9162100794678576        31.663440042961621       -451.09227767015091     
