   10.000000000000000        2.0000000000000000E-003        5001
   0.0000000000000000       -273.14962343617441       -41212.928980630553        20606464.490315277     
 -0.54629924687234888       -190.72376547491328        75646.144162668264       -17216607.591018837     
 -0.76289506189965317       -94.738479916466332        10050.468417418260       -1635377.3094126764     
 -0.92525316653821421       -74.161133959745413        4775.8584447304129       -633449.63248142949     
  -1.0595395977386348       -62.659095770600914        2891.8029879513033       -324871.53657330404     
  -1.1758895496206179       -54.990342257675351        1978.2940302716934       -192988.59430680325     
  -1.2795009667693362       -49.393029268270219        1457.8251439381074       -125742.74544681351     
  -1.3734616666936987       -45.070641637879547        1129.5365807124092       -87341.209280777926     
  -1.4597835333208544       -41.600589826399251        907.35694928117948       -63592.602845941030     
  -1.5398640259992957       -38.734273263425820        749.00109477066269       -48007.278436623666     
  -1.6147206263745577       -36.314356225582657        631.56574086911667       -37296.879922474320     
  -1.6851214509016263       -34.235655821175882        541.69872252776702       -29660.250674273801     
  -1.7516632496592612       -32.424783939156100        471.15455428109465       -24048.417225211448     
  -1.8148205866582507       -30.828746728734256        414.59957313377816       -19819.343876764648     
  -1.8749782365741983       -29.408180562720322        368.44932162780066       -16563.562000540544     
  -1.9324533089091320       -28.133146020215605        330.21650823614192       -14010.717305251717     
  -1.9875108206550607       -26.980408594934058        298.12752086505469       -11976.940924959821     
  -2.0403749432888683       -25.931621802573357        270.88763400040517       -10333.938417594889     
  -2.0912373078653541       -24.972078527582873        247.53221248680069       -8990.1660783875395     
  -2.1402632573991998       -24.089831670576324        227.32955156418157       -7879.0016954655148     
  -2.1875966345476594       -23.275061484665184        209.71574981926145       -6951.1025184709752     
  -2.2333635033378605       -22.519611715609788        194.25003168094258       -6169.3459677825131     
  -2.2776750814100986       -21.816643740499408        180.58346034255379       -5505.4062663706381     
  -2.3206300782998581       -21.160374774325639        168.43661955501244       -4937.3921389705974     
  -2.3623165805074011       -20.545877001773238        157.58342616539744       -4448.1875831337002     
  -2.4028135863069511       -19.968921548109254        147.83921096006569       -4024.2675636015242     
  -2.4421922666998381       -19.425855915032209        139.05182113443936       -3654.8402143898870     
  -2.4805170099670799       -18.913506713067129        131.09489452700629       -3331.2171250632346     
  -2.5178462935521067       -18.429101740459863        123.86271667841342       -3046.3453258300351     
  -2.5542334169289194       -17.970207017656168        117.26624630431505       -2794.4554646108786     
  -2.5897271216227313       -17.534675498014241        111.23001349794271       -2570.7945260355914     
  -2.6243721189209763       -17.120604978334896        105.68967695695487       -2371.4207815772602     
  -2.6582095415360709       -16.726303319886004        100.59008391888337       -2193.0450441187686     
  -2.6912773322005203       -16.350259524739897        95.883717171729728       -2032.9067146607204     
  -2.7236105796350305       -15.991119536628906        91.529442781013159       -1888.6762339631600     
  -2.7552418103470360       -15.647665880312411        87.491493305669195       -1758.3777302543344     
  -2.7862012431562801       -15.318800439852787        83.738636895869249       -1640.3272556086977     
  -2.8165170121064471       -15.003529819336613        80.243494163523280       -1533.0831450444114     
  -2.8462153624336266       -14.700952840423053        76.981973310796818       -1435.4058637255916     
  -2.8753208234681393       -14.410249817544573        73.932800550347011       -1346.2253472262819     
  -2.9038563617038049       -14.130673319509901        71.077127717367190       -1264.6142779626500     
  -2.9318435167461789       -13.861540179975984        68.398202835329158       -1189.7661149062876     
  -2.9593025224237088       -13.602224562013543        65.881092233821548       -1120.9769290587701     
  -2.9862524149942331       -13.352151916226962        63.512445168167901       -1057.6303252907148     
  -3.0127111300886167       -13.110793699457778        61.280293588650281       -999.18486082262166     
  -3.0386955897920642       -12.877662743433049        59.173881157725816       -945.16350618301101     
  -3.0642217810623489       -12.652309180876342        57.183516696590608       -895.14478179841808     
  -3.0893048265155696       -12.434316851471561        55.300448107753475       -848.75526917826960     
  -3.1139590484682351       -12.223300122270686        53.516753564353259       -805.66326665643112     
  -3.1381980270046523       -12.018901067213150        51.825247278924905       -765.57339059868389     
  -3.1620346527370877       -11.820786958784634        50.219397650708153       -728.22196708899332     
  -3.1854811748397909       -11.628648031786870        48.693255956688830       -693.37308716832524     
  -3.2085492448642352       -11.442195485006135        47.241394035446582       -660.81521371552651     
  -3.2312499567798154       -11.261159691428935        45.858849707758331       -630.35826358692759     
  -3.2535938836299509       -11.085288591760944        44.541078814241963       -601.83108041567118     
  -3.2755911111468592       -10.914346249468965        43.283912988634214       -575.07924802746572     
  -3.2972512686278268       -10.748111548490757        42.083522373503882       -549.96318848976591     
  -3.3185835573408222       -10.586377017258618        40.936382632583701       -526.35650651944309     
  -3.3395967766968613       -10.428947764806518        39.839245691564166       -504.14454252911685     
  -3.3602993484000483       -10.275640516550610        38.789113733617157       -483.22310608472912     
  -3.3806993387630637       -10.126282738889158        37.783216039477544       -463.49736509965209     
  -3.4008044793556049       -9.9807118431124433        36.818988313869205       -444.88086739513653     
  -3.4206221861355135       -9.8387744602657090        35.894054206286889       -427.29468099911293     
  -3.4401595771966678       -9.7003257796125499        35.006208744303713       -410.66663100663976     
  -3.4594234892539637       -9.5652289442074157        34.153403477010791       -394.93062836681855     
  -3.4784204929734974       -9.4333544978397743        33.333733105656016       -380.02607105624975     
  -3.4971569072453228       -9.3045798782698252        32.545423450991429       -365.89731478020582     
  -3.5156388124865767       -9.1787889522432220        31.786820592238918       -352.49320018415631     
  -3.5338720630542957       -9.0558715882764762        31.056381053606863       -339.76663105228511     
  -3.5518622988396826       -8.9357232636346762        30.352662929722385       -327.67420016233115     
  -3.5696149561088344       -8.8182447023177346        29.674317831407393       -316.17585116716640     
  -3.5871352776489536       -8.7033415412061110        29.020083579966993       -305.23457661413289     
  -3.6044283222736588       -8.5909240218056127        28.388777573939983       -294.81615021476057     
  -3.6214989737361760       -8.4809067053124298        27.779290730722828       -284.88887882094360     
  -3.6383519490949086       -8.3732082089353899        27.190581991853868       -275.42338820740753     
  -3.6549918065719176       -8.2677509616264633        26.621673283322433       -266.39242214909763     
  -3.6714229529414144       -8.1644609775589618        26.071644926239923       -257.77066575694005     
  -3.6876496504821534       -8.0632676458430854        25.539631429039034       -249.53458291343543     
  -3.7036760235247868       -7.9641035351218914        25.024817641772223       -241.66227219346578     
  -3.7195060646226410       -7.8669042118211241        24.526435218885645       -234.13333294364233     
  -3.7351436403720712       -7.7716080709409052        24.043759377645468       -226.92874526719640     
  -3.7505924969064046       -7.6781561783735297        23.576105921019330       -220.03076222132378     
  -3.7658562650855654       -7.5864921238361083        23.122828488264524       -213.42280806524448     
  -3.7809384654017490       -7.4965618835798331        22.683316037497292       -207.08939074687294     
  -3.7958425126198847       -7.4083136921188064        22.256990508284780       -201.01601688748971     
  -3.8105717201702243       -7.3216979222883172        21.843304677138242       -195.18911820171070     
  -3.8251293043090380       -7.2366669729981847        21.441740164940271       -189.59598030443559     
  -3.8395183880622170       -7.1531751641020769        21.051805610405872       -184.22468334167164     
  -3.8537420049654463       -7.0711786378605535        20.673034958562653       -179.06404076173388     
  -3.8678031026136592       -6.9906352665154436        20.304985890562399       -174.10354752334101     
  -3.8817045460315081       -6.9115045655234741        19.947238366957443       -169.33333324420374     
  -3.8954491208757531       -6.8337476120545748        19.599393263791676       -164.74411490552399     
  -3.9090395364797264       -6.7573269683782744        19.261071118492623       -160.32715716152168     
  -3.9224784287492662       -6.6822066097902422        18.931910960584553       -156.07423536900811     
  -3.9357683629188873       -6.6083518567723321        18.611569215898349       -151.97759839491454     
  -3.9489118361763555       -6.5357293110894776        18.299718700709455       -148.02993919538210     
  -3.9619112801632452       -6.4643067955569844        17.996047672719229       -144.22436439565089     
  -3.9747690633585835       -6.3940532972388553        17.700258943986746       -140.55436442506064     
