      5000      0.10000000000      5.46043750000    932.75968612637
  0.268777264769E+06  0.263608790531E+06  0.258574640898E+06  0.253670239369E+06
  0.248891206209E+06  0.244233348192E+06  0.239692648972E+06  0.235265260026E+06
  0.230947492158E+06  0.226735807488E+06  0.222626811935E+06  0.218617248119E+06
  0.214703988685E+06  0.210884030009E+06  0.207154486258E+06  0.203512583785E+06
  0.199955655845E+06  0.196481137587E+06  0.193086561341E+06  0.189769552147E+06
  0.186527823529E+06  0.183359173501E+06  0.180261480777E+06  0.177232701183E+06
  0.174270864261E+06  0.171374070045E+06  0.168540485998E+06  0.165768344119E+06
  0.163055938181E+06  0.160401621115E+06  0.157803802528E+06  0.155260946335E+06
  0.152771568515E+06  0.150334234968E+06  0.147947559487E+06  0.145610201815E+06
  0.143320865803E+06  0.141078297650E+06  0.138881284230E+06  0.136728651495E+06
  0.134619262948E+06  0.132552018191E+06  0.130525851540E+06  0.128539730698E+06
  0.126592655490E+06  0.124683656655E+06  0.122811794691E+06  0.120976158751E+06
  0.119175865584E+06  0.117410058531E+06  0.115677906553E+06  0.113978603306E+06
  0.112311366259E+06  0.110675435842E+06  0.109070074635E+06  0.107494566587E+06
  0.105948216271E+06  0.104430348170E+06  0.102940305984E+06  0.101477451979E+06
  0.100041166348E+06  0.986308466101E+05  0.972459070220E+05  0.958857780229E+05
  0.945499056952E+05  0.932377512479E+05  0.919487905205E+05  0.906825135056E+05
  0.894384238899E+05  0.882160386130E+05  0.870148874425E+05  0.858345125654E+05
  0.846744681948E+05  0.835343201912E+05  0.824136456979E+05  0.813120327895E+05
  0.802290801341E+05  0.791643966666E+05  0.781176012748E+05  0.770883224967E+05
  0.760761982276E+05  0.750808754395E+05  0.741020099083E+05  0.731392659523E+05
  0.721923161788E+05  0.712608412404E+05  0.703445295986E+05  0.694430772964E+05
  0.685561877389E+05  0.676835714800E+05  0.668249460182E+05  0.659800355975E+05
  0.651485710163E+05  0.643302894420E+05  0.635249342318E+05  0.627322547595E+05
  0.619520062480E+05  0.611839496074E+05  0.604278512779E+05  0.596834830782E+05
  0.589506220589E+05  0.582290503596E+05  0.575185550722E+05  0.568189281068E+05
  0.561299660630E+05  0.554514701048E+05  0.547832458394E+05  0.541251031997E+05
  0.534768563308E+05  0.528383234795E+05  0.522093268873E+05  0.515896926872E+05
  0.509792508025E+05  0.503778348500E+05  0.497852820449E+05  0.492014331095E+05
  0.486261321837E+05  0.480592267393E+05  0.475005674953E+05  0.469500083372E+05
  0.464074062379E+05  0.458726211805E+05  0.453455160846E+05  0.448259567333E+05
  0.443138117030E+05  0.438089522955E+05  0.433112524714E+05  0.428205887856E+05
  0.423368403249E+05  0.418598886467E+05  0.413896177204E+05  0.409259138694E+05
  0.404686657152E+05  0.400177641231E+05  0.395731021495E+05  0.391345749900E+05
  0.387020799296E+05  0.382755162939E+05  0.378547854018E+05  0.374397905193E+05
  0.370304368147E+05  0.366266313147E+05  0.362282828623E+05  0.358353020749E+05
  0.354476013043E+05  0.350650945973E+05  0.346876976576E+05  0.343153278085E+05
  0.339479039568E+05  0.335853465569E+05  0.332275775773E+05  0.328745204662E+05
